"filename", "language", "PHP", "CSS", "JavaScript", "Less", "SQL", "XML", "Batch", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\webproject\config\phpqrcode\qrmask.php", "PHP", 234, 0, 0, 0, 0, 0, 0, 0, 37, 58, 329
"c:\xampp\htdocs\webproject\config\phpqrcode\qrrscode.php", "PHP", 126, 0, 0, 0, 0, 0, 0, 0, 49, 35, 210
"c:\xampp\htdocs\webproject\config\phpqrcode\qrspec.php", "PHP", 417, 0, 0, 0, 0, 0, 0, 0, 85, 90, 592
"c:\xampp\htdocs\webproject\config\phpqrcode\qrsplit.php", "PHP", 219, 0, 0, 0, 0, 0, 0, 0, 42, 50, 311
"c:\xampp\htdocs\webproject\config\phpqrcode\qrtools.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 31, 32, 172
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.bat", "Batch", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 25, 13, 70
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merge.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merged_config.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 5, 4, 17
"c:\xampp\htdocs\webproject\config\phpqrcode\tools\merged_header.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 32, 3, 36
"c:\xampp\htdocs\webproject\database\webproject.sql", "SQL", 0, 0, 0, 0, 151, 0, 0, 0, 123, 61, 335
"c:\xampp\htdocs\webproject\deletec.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\webproject\fdetails.php", "PHP", 228, 0, 0, 0, 0, 0, 0, 0, 1, 2, 231
"c:\xampp\htdocs\webproject\flights.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 0, 2, 7, 157
"c:\xampp\htdocs\webproject\index.php", "PHP", 161, 0, 0, 0, 0, 0, 0, 0, 1, 14, 176
"c:\xampp\htdocs\webproject\login.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 3, 5, 91
"c:\xampp\htdocs\webproject\modifyinfo.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
